publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2026,Caso principal,8
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2026,Caso principal,116.61
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2026,Caso principal,1276.89
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2026,Caso principal,16.59
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2026,Caso principal,1482.27
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2026,Caso principal,1857.68
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2026,Caso principal,1428.04
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2027,Caso acelerado,189.15
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2027,Caso acelerado,0.6
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2027,Caso acelerado,8.44
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2027,Caso acelerado,144.74
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2027,Caso acelerado,1449.4
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2027,Caso acelerado,17.55
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2027,Caso acelerado,1511.27
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2027,Caso acelerado,2369.11
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2027,Caso acelerado,1785.4
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2027,Caso principal,186.07
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2027,Caso principal,0.59
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2027,Caso principal,8.23
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2027,Caso principal,137.14
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2027,Caso principal,1398.16
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2027,Caso principal,17.27
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2027,Caso principal,1503.14
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2027,Caso principal,2197.07
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2027,Caso principal,1646.67
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2028,Caso acelerado,195.02
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2028,Caso acelerado,0.65
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2028,Caso acelerado,8.75
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2028,Caso acelerado,171.62
